Timestamp,value
1,3704.0931236652555
2,6566.085748575044
3,63031.51752465729
4,62786.578926004135
5,60720.90116203707
6,56274.93605799065
7,48017.253217045465
8,39341.68833690477
9,33782.57954904399
10,31461.82642706233
11,30294.871114279726
12,29867.151871212125
13,29649.659947601052
14,29848.28423903319
15,32045.560204028396
16,38617.53810357145
17,48404.702812319585
18,55729.44593884682
19,58208.088562379715
20,56667.697167003345
21,58917.184597348496
22,59398.47490892256
23,59732.1590650794
24,60664.39088695283
25,62773.81389734846
26,58963.2713539562
27,56949.766204587526
28,56099.22230185182
29,55169.45998241342
30,52155.12992015997
31,45368.68831034149
32,38496.28837504208
33,33094.46620972219
34,30624.75739255047
35,29542.94524839464
36,28814.158967069478
37,28616.35611129753
38,28922.268321338383
39,30423.79524089708
40,35542.71215264545
41,44383.658971651006
42,50699.889888846796
43,55851.047568506525
44,58341.356481902396
45,58921.426718055605
46,59342.284974086084
47,60301.47234200335
48,62055.12181098484
49,65157.45121014315
50,66054.05562983401
51,63763.24060593432
52,64834.73905277775
53,64415.70187121216
54,57859.27180223061
55,47312.343087006935
56,37091.595563906936
57,32735.391870977604
58,30941.742661808523
59,30022.77382573948
60,29681.61457504214
61,29593.36327908251
62,30812.086662433903
63,35841.816263431916
64,46927.09088475826
65,59222.01094445049
66,69935.39206458032
67,66427.74181982927
68,76403.851583664
69,76841.99579814816
70,77732.09692592593
71,78612.23695399828
72,78564.80486213921
73,81424.80030144301
74,77152.31864298339
75,71512.24593715131
76,73391.12139785354
77,73626.51773766839
78,65864.30226797136
79,52586.62056370249
80,40557.19944258055
81,34732.508032575744
82,32208.951645075802
83,31189.66210591029
84,30963.62781296301
85,30781.909408315278
86,32015.37310401636
87,37780.86018805921
88,49414.421845304256
89,62157.32422598606
90,71965.39589924242
91,75015.05069496152
92,76129.24353989898
93,73915.01127467527
94,77246.54805135279
95,77296.67786452017
96,77784.83910398633
97,81272.46482518637
98,77215.1082968735
99,72271.69978914135
100,72911.0403357744
101,71381.427585101
102,65661.36932762743
103,53120.8487258478
104,40561.82681700333
105,34984.631564983116
106,32658.912670033696
107,31631.094775336736
108,31280.810711429745
109,31106.170784048823
110,32559.904218626787
111,38081.606532437465
112,49897.87733306273
113,62468.83476684706
114,71840.87809797982
115,73900.79100612672
116,75959.52714178091
117,71080.83785963205
118,75592.55312876988
119,75541.36245804472
120,77026.04349322391
121,78926.77617790407
122,75129.10086755648
123,68105.55500147303
124,71690.61880441924
125,71180.33680004205
126,65181.76792278739
127,52605.588542063466
128,40470.84372564329
129,34807.69384532823
130,32505.873344071642
131,31407.551661195328
132,31307.641825252547
133,31282.01220585622
134,32521.335698442796
135,37877.60958548577
136,48337.84694101733
137,61181.43894841267
138,68750.5432253367
139,67309.42136533193
140,72252.91436565656
141,73157.04782307598
142,73663.5596378006
143,74174.17521025133
144,74619.94789500357
145,76752.06508686871
146,72117.42498680855
147,67784.71498585856
148,67866.6989265272
149,68180.35238151152
150,62422.03964107147
151,50664.747629557445
152,28948.612084054825
153,32972.25824250839
154,30394.400471428555
155,29531.78307551709
156,29746.307821675127
157,29460.65522050864
158,30888.288306601717
159,36301.25969927246
