Timestamp,value
1,1098.0
2,44622.88888888889
3,642606.2222222222
4,694731.0
5,711139.5555555555
6,727303.1111111111
7,735589.4444444445
8,740622.4444444445
9,727657.6666666666
10,724615.1111111111
11,745234.4444444445
12,757149.3333333334
13,768798.6666666666
14,781670.1111111111
15,789753.4444444445
16,785140.1111111111
17,773607.1111111111
18,722525.8888888889
19,626028.8888888889
20,557624.2222222222
21,522440.44444444444
22,501678.1111111111
23,488834.0
24,491574.44444444444
25,512650.77777777775
26,580140.7777777778
27,645989.0
28,707814.6666666666
29,725107.0
30,733047.5555555555
31,736489.0
32,732390.5555555555
33,720084.5555555555
34,716380.0
35,733516.4444444445
36,750387.6666666666
37,765910.5555555555
38,773581.5555555555
39,777526.3333333334
40,773908.3333333334
41,765515.3333333334
42,726706.3333333334
43,631054.7777777778
44,563178.1111111111
45,516949.1111111111
46,504102.6666666667
47,491753.8888888889
48,491707.6666666667
49,517271.3333333333
50,579731.2222222222
51,659267.7777777778
52,703137.0
53,716093.6666666666
54,748044.7777777778
55,732704.0
56,726149.1111111111
57,717668.5555555555
58,716452.4444444445
59,740814.8888888889
60,780700.4444444445
61,788016.7777777778
62,785124.0
63,786723.1111111111
64,726950.4444444445
65,730321.6666666666
66,720246.2222222222
67,631715.4444444445
68,562635.7777777778
69,524071.0
70,504700.6666666667
71,442171.1111111111
72,490296.8888888889
73,519173.22222222225
74,586399.5555555555
75,662565.0
76,713648.2222222222
77,721069.3333333334
78,720154.4444444445
79,728742.4444444445
80,742014.3333333334
81,724886.3333333334
82,723167.4444444445
83,728162.8888888889
84,740175.3333333334
85,759101.4444444445
86,758498.2222222222
87,757884.3333333334
88,760678.1111111111
89,754030.3333333334
90,718141.6666666666
91,625326.3333333334
92,557814.5555555555
93,515369.8888888889
94,500884.1111111111
95,458174.22222222225
96,488162.77777777775
97,509543.6666666667
98,579214.0
99,672256.2222222222
100,728267.4444444445
101,724277.4444444445
102,743361.3333333334
103,752786.7777777778
104,735702.5555555555
105,738134.0
106,735274.6666666666
107,759045.4444444445
108,777797.7777777778
109,791018.0
110,784640.6666666666
111,674953.2222222222
112,739344.0
113,715327.8888888889
114,675784.1111111111
115,607001.4444444445
116,550900.8888888889
117,513931.6666666667
118,491164.22222222225
119,475051.44444444444
120,473995.8888888889
121,489779.22222222225
122,536758.8888888889
123,616317.5555555555
124,669403.0
125,707070.8888888889
126,714501.6666666666
127,702047.8888888889
128,682741.3333333334
129,678899.1111111111
130,669189.0
131,679520.1111111111
132,684808.3333333334
133,689458.8888888889
134,682325.6666666666
135,676902.7777777778
136,675110.7777777778
137,668042.8888888889
138,646921.0
139,590645.5555555555
140,546246.7777777778
141,510927.6666666667
142,484106.44444444444
143,471682.77777777775
144,473071.1111111111
145,484063.77777777775
146,529996.4444444445
147,578407.6666666666
148,649462.8888888889
149,681709.7777777778
150,726074.4444444445
151,690963.2222222222
152,678404.5555555555
153,667162.3333333334
154,670401.6666666666
155,676320.6666666666
156,691391.0
157,709068.7777777778
158,712208.6666666666
159,751779.8888888889
160,737979.5555555555
161,723703.1111111111
162,679430.7777777778
163,604410.6666666666
164,550138.8888888889
165,512158.77777777775
166,493901.6666666667
167,487446.0
168,485450.77777777775
169,468628.8888888889
170,568474.3333333334
171,638614.6666666666
172,685491.4444444445
173,705128.6666666666
174,719273.8888888889
175,731303.8888888889
176,721678.3333333334
177,715095.7777777778
178,711930.8888888889
179,729550.6666666666
180,757898.6666666666
181,774756.8888888889
182,771417.2222222222
183,777477.8888888889
184,779860.7777777778
185,770841.7777777778
186,728368.5555555555
187,619647.7777777778
188,555488.1111111111
189,517755.0
190,498895.1111111111
191,487930.77777777775
192,488184.6666666667
193,462566.44444444444
194,571416.8888888889
195,647160.8888888889
196,692355.8888888889
197,724236.8888888889
198,732958.1111111111
199,731251.4444444445
200,722274.3333333334
201,717440.7777777778
202,713926.0
203,729578.3333333334
204,751286.4444444445
205,774034.8888888889
206,775787.3333333334
207,779448.4444444445
208,777962.2222222222
209,760275.4444444445
210,714702.7777777778
211,622416.4444444445
212,552137.7777777778
213,512322.6666666667
214,496225.1111111111
215,483958.3333333333
216,486745.22222222225
217,507719.0
